                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1411,                 3.9475,                 4.1446,                0.00431,                0.55742,                0.03227,                0.00974,                 2.6421,                 4.0204,                 4.1159,              0.0004631,              0.0004631,              0.0004631
                      1,                 3.1815,                 3.4316,                 3.8521,                0.00483,                0.60416,                0.01392,                0.00434,                  2.661,                 4.0808,                 3.6154,             0.00093013,             0.00093013,             0.00093013
                      2,                  3.045,                 3.1586,                 3.5082,                 0.0089,                0.44934,                0.01193,                0.00385,                 2.9787,                 91.908,                 4.4023,              0.0013877,              0.0013877,              0.0013877
                      3,                 2.8601,                 3.0523,                 3.3081,                0.67028,                0.05673,                0.00281,                0.00089,                  3.117,                 12.872,                 3.9828,              0.0013866,              0.0013866,              0.0013866
                      4,                 2.7026,                 2.9324,                 3.1543,                0.73031,                0.08427,                0.05258,                0.01778,                 2.3387,                 5.8807,                 3.1536,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.5142,                 2.8578,                 3.0321,                0.07486,                0.27934,                0.06641,                0.02387,                 2.2694,                 4.6646,                 2.9324,              0.0013724,              0.0013724,              0.0013724
                      6,                 2.2995,                 2.6417,                 2.8041,                 0.1324,                0.24549,                0.09311,                0.03168,                  2.157,                 4.2029,                 2.8491,              0.0013583,              0.0013583,              0.0013583
                      7,                 2.2083,                 2.6764,                 2.7163,                0.20694,                0.39689,                0.14493,                0.06157,                 2.0596,                 3.7764,                 2.7194,              0.0013441,              0.0013441,              0.0013441
                      8,                 2.1043,                 2.4848,                 2.5734,                0.23969,                0.28248,                 0.2312,                0.09097,                 1.9028,                 3.2719,                 2.5442,                0.00133,                0.00133,                0.00133
                      9,                 2.0085,                 2.3289,                 2.4872,                0.33016,                0.39248,                0.29603,                0.12615,                 1.8652,                 2.4631,                  2.493,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.9309,                 2.2275,                 2.4043,                0.34707,                0.42758,                0.29695,                0.11918,                 1.8216,                 2.9079,                 2.4057,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.9182,                 2.1901,                 2.3735,                0.38115,                0.33405,                0.29949,                0.12432,                 1.8009,                 2.4548,                 2.4441,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.8153,                 2.1862,                 2.2885,                0.23298,                0.33253,                0.21268,                0.09363,                 1.7603,                 2.7094,                   2.34,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.8333,                 2.1154,                 2.2588,                 0.4695,                0.44373,                0.42977,                 0.2016,                 1.6879,                  2.131,                 2.2486,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.7724,                 1.9615,                 2.2089,                0.40302,                0.48698,                0.42223,                0.20689,                 1.6653,                 2.1573,                  2.217,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.7645,                 1.9236,                 2.1927,                0.34565,                0.38055,                 0.3432,                0.15858,                   1.62,                  2.444,                 2.2042,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.7221,                 1.9337,                 2.1728,                0.43821,                 0.4696,                0.41389,                0.20123,                 1.7028,                 2.3045,                 2.2612,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.6883,                 1.8505,                  2.143,                0.37688,                0.36151,                0.33529,                0.15796,                 1.6528,                 2.0059,                 2.2422,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.6703,                 1.8314,                 2.0974,                0.57783,                0.56865,                0.58322,                0.33405,                 1.5017,                 1.6743,                 2.0231,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.6435,                 1.7477,                 2.0763,                0.48961,                0.52388,                0.52366,                0.30054,                 1.4848,                 1.7779,                 2.0221,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.6317,                 1.7786,                 2.0703,                0.51786,                0.54451,                0.50845,                0.27488,                 1.5207,                 1.6905,                 2.0695,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.5834,                 1.7082,                  2.017,                0.60557,                0.52229,                0.58789,                0.34362,                 1.5441,                 1.5704,                 2.0554,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.6011,                 1.6863,                 2.0207,                0.39632,                0.48714,                 0.4464,                0.24098,                 1.4933,                 2.0861,                 1.9966,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.6007,                 1.6556,                 2.0068,                0.61225,                0.57029,                0.58837,                 0.3333,                 1.5097,                 1.5619,                   2.03,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.5761,                 1.6235,                 2.0025,                0.61751,                0.57218,                0.58477,                 0.3215,                 1.4804,                 1.5637,                 2.0048,              0.0011036,              0.0011036,              0.0011036
